score_decile,customers,responders,response_rate,average_probability,lift_vs_baseline
10,221,43,0.1946,0.9179,0.94
9,220,43,0.1955,0.7465,0.94
8,221,37,0.1674,0.5138,0.81
7,220,43,0.1955,0.3452,0.94
6,220,57,0.2591,0.2525,1.25
5,221,59,0.267,0.1768,1.29
4,220,37,0.1682,0.12,0.81
3,221,39,0.1765,0.0743,0.85
2,220,52,0.2364,0.0416,1.14
1,221,48,0.2172,0.0164,1.05
