metric,value
total_customers,2205.0
average_income,51622.09
average_age,51.1
total_revenue_analyzed,1338042.0
average_spending_per_customer,606.82
average_purchases_per_customer,12.57
campaign_responses,458.0
campaign_response_rate_percent,20.77
